seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr22	20071896	20071905	10	*	X3971	100302197	20073581	20073665	85	+	1675	upstream	1675	MIR1306
chr22	20071896	20071905	10	*	X3971	100500860	20073269	20073356	88	+	1363	upstream	1363	MIR3618
chr22	23604327	23604338	12	*	X4027	26226	23604954	23607186	2233	+	615	upstream	615	FBXW4P1
chr22	42485333	42485359	27	*	X4089	100132273	42486937	42532702	45766	+	1577	upstream	1577	NDUFA6-DT
chr3	160232890	160232899	10	*	X4346	677767	160232695	160233024	330	-	0	inside	124	SCARNA7
chr5	40829764	40829780	17	*	X4750	100506548	40825365	40829244	3880	-	519	upstream	519	NA
chr5	40834661	40834669	9	*	X4751	619564	40832758	40832837	80	-	1823	upstream	1823	SNORD72
chr5	85915385	85915394	10	*	X4785	100500805	85916314	85916392	79	+	919	upstream	919	NA
chr5	134366968	134366976	9	*	X4841	100996485	134368970	134680370	311401	+	1993	upstream	1993	C5orf66
chr5	138613939	138613952	14	*	X4853	26821	138614469	138614668	200	+	516	upstream	516	SNORA74A
chr5	176937986	176937995	10	*	X4904	79930	176928906	176937427	8522	-	558	upstream	558	DOK3
chr5	179157962	179157973	12	*	X4913	9794	179159851	179223512	63662	+	1877	upstream	1877	MAML1
chr6	27113076	27113117	42	*	X4977	85235	27114861	27115341	481	+	1743	upstream	1743	H2AC12
chr6	150183160	150183168	9	*	X5137	100652739	150184634	150240644	56011	+	1465	upstream	1465	RAET1E-AS1
chr7	56127526	56127534	9	*	X5378	677803	56128163	56128295	133	+	628	upstream	628	SNORA15
chr7	141439225	141439234	10	*	X5545	285962	141404138	141438030	33893	-	1194	upstream	1194	WEE2-AS1
chr8	99054892	99054900	9	*	X5754	26775	99054314	99054445	132	-	446	upstream	446	SNORA72
chr8	142431195	142431203	9	*	X5807	11156	142432007	142441620	9614	+	803	upstream	803	PTP4A3
chr8	145579997	145580005	9	*	X5837	340393	145576886	145579269	2384	-	727	upstream	727	TMEM249
chr9	35104578	35104590	13	*	X5874	30968	35099889	35103154	3266	-	1423	upstream	1423	STOML2
chr9	104159440	104159448	9	*	X5925	7743	104161136	104172942	11807	+	1687	upstream	1687	ZNF189
chr9	123640488	123640496	9	*	X5952	26147	123617931	123639606	21676	-	881	upstream	881	PHF19
chr9	136279544	136279553	10	*	X6046	11093	136279459	136324508	45050	+	0	inside	84	ADAMTS13
chr9	139724977	139724985	9	*	X6069	100422860	139725409	139725475	67	+	423	upstream	423	MIR4292
chr9	139746432	139746440	9	*	X6071	158056	139746819	139755251	8433	+	378	upstream	378	MAMDC4
chrX	48684608	48684619	12	*	X6150	3266	48684923	48688279	3357	+	303	upstream	303	ERAS
chrX	153996560	153996569	10	*	X6205	677817	153996803	153996932	130	+	233	upstream	233	SNORA36A
